Species,LowRange,HighRange,VocLowRange,VocHighRange,Type,Class,Environment,Picture,Description,References
Human,20,20000,100,2000,receiver,mammal,air,img/sounds7.jpg,People have ears and can make sounds too.,
Human speech,100,2000,100,2000,signal,mammal,air,img/sounds7.jpg,People have ears and can make sounds too.,
Chicken,125,2000,125,2000,receiver,bird,air,,,
Goldfish,20,3000,20,3000,receiver,fish,water,,,
Bullfrog,100,3000,100,3000,receiver,amphibia,air,,,
Canary,250,8000,250,8000,receiver,bird,air,,,
Elephant,17,10500,17,10500,receiver,mammal,air,,,
Parakeet,200,8500,200,8500,receiver,bird,air,,,
Owl,200,12000,200,12000,receiver,bird,air,,,
Chinchilla,52,33000,52,33000,receiver,mammal,air,,,
Horse,55,33500,55,33500,receiver,mammal,air,,,
Cow,23,35000,23,35000,receiver,mammal,air,,,
Raccoon,100,40000,100,40000,receiver,mammal,air,,,
Sheep,125,42500,125,42500,receiver,mammal,air,,,
Dog,64,44000,64,44000,receiver,mammal,air,,,
Ferret,16,44000,16,44000,receiver,mammal,air,,,
Hedgehog,250,45000,250,45000,receiver,mammal,air,,,
Guinea pig,47,49000,47,49000,receiver,mammal,air,,,
Rabbit,96,49000,96,49000,receiver,mammal,air,,,
Sea lion,200,50000,200,50000,receiver,mammal,water,,,
Gerbil,56,60000,56,60000,receiver,mammal,air,,,
Opossum,500,64000,500,64000,receiver,mammal,air,,,
Albino rat,390,72000,390,72000,receiver,mammal,air,,,
Hooded rat,530,75000,530,75000,receiver,mammal,air,,,
Cat,55,77000,55,77000,receiver,mammal,air,,,
Mouse,900,79000,900,79000,receiver,mammal,air,,,
Little brown bat,10300,115000,10300,115000,receiver,mammal,air,,jamming,
Beluga whale,1000,123000,1000,123000,receiver,mammal,water,,,
Bottlenose dolphin,150,150000,150,150000,receiver,mammal,water,,,
Porpoise,75,150000,75,150000,receiver,mammal,water,,,
Catfish,50,4000,50,4000,receiver,fish,water,,,
Capuchin monkey,10,20,10,20,receiver,mammal,air,,,