Species,LowRange,HighRange,VocLowRange,VocHighRange,Class,Environment,Picture,Description
Human,20,20000,100,2000,mammal,air,img/sounds7.jpg,People have ears and can make sounds too.
Chicken,125,2000,125,2000,bird,air,,
Goldfish,20,3000,20,3000,fish,water,,
Bullfrog,100,3000,100,3000,amphibia,air,,
Canary,250,8000,250,8000,bird,air,,
Elephant,17,10500,17,10500,mammal,air,,
Parakeet,200,8500,200,8500,bird,air,,
Owl,200,12000,200,12000,bird,air,,
Chinchilla,52,33000,52,33000,mammal,air,,
Horse,55,33500,55,33500,mammal,air,,
Cow,23,35000,23,35000,mammal,air,,
Raccoon,100,40000,100,40000,mammal,air,,
Sheep,125,42500,125,42500,mammal,air,,
Dog,64,44000,64,44000,mammal,air,,
Ferret,16,44000,16,44000,mammal,air,,
Hedgehog,250,45000,250,45000,mammal,air,,
Guinea pig,47,49000,47,49000,mammal,air,,
Rabbit,96,49000,96,49000,mammal,air,,
Sea lion,200,50000,200,50000,mammal,water,,
Gerbil,56,60000,56,60000,mammal,air, ,
Opossum,500,64000,500,64000,mammal,air,,
Albino rat,390,72000,390,72000,mammal,air,,
Hooded rat,530,75000,530,75000,mammal,air,,
Cat,55,77000,55,77000,mammal,air,,
Mouse,900,79000,900,79000,mammal,air,,
Little brown bat,10300,115000,10300,115000,mammal,air,,
Beluga whale,1000,123000,1000,123000,mammal,water,,
Bottlenose dolphin,150,150000,150,150000,mammal,water,,
Porpoise,75,150000,75,150000,mammal,water,,
Catfish,50,4000,50,4000,fish,water,,
,,,,,,,,